n49	1.411	1.488	1.602	1.542	1.500
nls	1.669	1.675	1.887	1.705   1.668
nus	2.439	2.301	2.269	2.488   2.330
ibb	2.544	2.333	2.706	2.641	2.477
nul	2.68	2.731	2.931	3.001	2.788
actr79	2.51	2.343	2.624	2.466	2.282
r17d	2.817	2.613	2.807	2.868	2.635
csp	2.226	2.051	2.317	2.195	2.072
r15	2.612	2.477	2.702	2.811	2.549
r17	2.621	2.492	2.779	2.845	2.650
hcyp	2.534	3.147	3.551	3.794	3.172
in	2.221	1.914	2.156   2.023	1.951
protan	2.549	2.097	2.354	2.135	2.109
protac	2.998	2.399	2.677	2.411	2.381
protein_l	1.65	1.763	2.185	2.100	2.007	
sic1	3.21	2.466	2.638	2.664	2.503
actr	2.51	2.201	2.425	2.313	2.196
hnhe1cdt	3.63	3.135	3.431	3.293	3.199
nup	2.4	2.379	2.326	2.464	2.332
his5	1.38	1.199	1.345	1.218	1.193
p53	2.87	2.715	2.918	2.869	2.735
osteopontin	5.5	4.489	4.852	4.553	4.401
sh4	3	2.297	2.475	2.430	2.355
an16	5	2.963	3.187	3.680	3.240
erm	3.96	2.624	2.923	2.992	2.745
pnt	4.807	3.741	4.353	4.948	4.336
fhua	3.219	2.893	2.994	3.077	2.955
rnasea	3.245	2.629	2.997	2.888	2.630
asynuclein	3.3	3.015	3.236	3.225	2.999
tau	5.1	4.849	4.518	4.684	4.044
tau23	5.3	3.672	4.356	5.140	4.120
tau40	6.5	4.849	4.514	4.676	4.041
k19	3.5	2.583	2.876	2.831	2.641
k18	3.8	3.076	3.297	3.274	3.021
k17	3.6	3.342	3.578	3.664	3.411
k10	4	3.24	3.38	3.664	3.490
k27	3.7	3.62	3.616	3.854	3.578
k16	3.9	3.67	3.765	3.906	3.614
k25	4.1	2.938	2.898	3.598	2.942
k32	4.15	3.911	4.181	3.953	4.037
k23	4.9	3.377	3.641	4.145	3.323
k44	5.2	3.725	4.443	5.134	3.853
