#protein exp HPS-Urry HPS-SS
n49	1.411	1.488	1.602
nls	1.669	1.675	1.887
nus	2.439	2.301	2.269
ibb	2.544	2.333	2.706
nul	2.68	2.731	2.931
actr79	2.51	2.343
r17d	2.817	2.613	2.807
csp	2.226	2.051	2.317
r15	2.612	2.477	2.702
r17	2.621	2.492	2.779
hcyp	2.534	3.147	3.551
in	2.221	1.914	2.156
protan	2.549	2.097	2.354
protac	2.998	2.399	2.677
protein_l	1.65	1.763	2.185
sic1	3.21	2.466	2.638
actr	2.51	2.201	2.425
hnhe1cdt	3.63	3.135	3.431
nup	2.4	2.379	2.326
his5	1.38	1.199	1.345
p53	2.87	2.715	2.918
osteopontin	5.5	4.489	4.852
sh4	3	2.297	2.475
an16	5	2.963	3.187
erm	3.96	2.624	2.923
pnt	4.807	3.741	4.353
fhua	3.219	2.893	2.994
rnasea	3.245	2.629	2.997
asynuclein	3.3	3.015	3.236
tau	5.1	4.849	4.518
tau23	5.3	3.672	4.356
tau40	6.5	4.849	4.514
k19	3.5	2.583	2.876
k18	3.8	3.076	3.297
k17	3.6	3.342	3.578
k10	4	3.24	3.38
k27	3.7	3.62	3.616
k16	3.9	3.67	3.765
k25	4.1	2.938	2.898
k32	4.15	3.911	4.181
k23	4.9	3.377	3.641
k44	5.2	3.725	4.443
